id_wniosku,czas_realizacji_w_dniach,partner,czas_realizacji,laczny_zysk,sredni_dzienny_zysk
2143693,-6,wakacje.pl,Error - ujemny wynik,150,-25
2143735,-6,dreamtours,Error - ujemny wynik,150,-25
2070108,-6,wakacje.pl,Error - ujemny wynik,150,-25
2070022,-6,dreamtours,Error - ujemny wynik,150,-25
2143716,-6,dreamtours,Error - ujemny wynik,150,-25
2070037,-6,wakacje.pl,Error - ujemny wynik,150,-25
2143697,-6,wakacje.pl,Error - ujemny wynik,125,-20.83
2070039,-6,itaka,Error - ujemny wynik,150,-25
2070027,-6,itaka,Error - ujemny wynik,150,-25
2070046,-6,itaka,Error - ujemny wynik,150,-25
2154477,-6,tui,Error - ujemny wynik,105,-17.5
2143695,-6,itaka,Error - ujemny wynik,150,-25
2070044,-6,dreamtours,Error - ujemny wynik,150,-25
2070114,-6,itaka,Error - ujemny wynik,150,-25
2143700,-6,wakacje.pl,Error - ujemny wynik,150,-25
2070043,-6,dreamtours,Error - ujemny wynik,150,-25
2070041,-6,tui,Error - ujemny wynik,105,-17.5
2154454,-6,wakacje.pl,Error - ujemny wynik,150,-25
2154390,-6,dreamtours,Error - ujemny wynik,150,-25
2070024,-6,wakacje.pl,Error - ujemny wynik,150,-25
2154381,-6,tui,Error - ujemny wynik,105,-17.5
2070042,-6,wakacje.pl,Error - ujemny wynik,150,-25
2070106,-6,tui,Error - ujemny wynik,105,-17.5
2070109,-6,tui,Error - ujemny wynik,105,-17.5
2070110,-6,dreamtours,Error - ujemny wynik,150,-25
2154484,-6,dreamtours,Error - ujemny wynik,150,-25
2070026,-6,dreamtours,Error - ujemny wynik,150,-25
2070023,-6,tui,Error - ujemny wynik,105,-17.5
2070025,-6,tui,Error - ujemny wynik,105,-17.5
2070045,-6,tui,Error - ujemny wynik,105,-17.5
2070031,-6,dreamtours,Error - ujemny wynik,150,-25
2154460,-6,itaka,Error - ujemny wynik,150,-25
2070034,-6,tui,Error - ujemny wynik,105,-17.5
2143705,-6,tui,Error - ujemny wynik,105,-17.5
2143703,-6,tui,Error - ujemny wynik,105,-17.5
2070035,-6,wakacje.pl,Error - ujemny wynik,150,-25
2070105,-6,dreamtours,Error - ujemny wynik,150,-25
2154463,-6,tui,Error - ujemny wynik,105,-17.5
2154317,-6,dreamtours,Error - ujemny wynik,150,-25
2154283,-6,wakacje.pl,Error - ujemny wynik,125,-20.83
2154274,-6,wakacje.pl,Error - ujemny wynik,150,-25
2154365,-6,dreamtours,Error - ujemny wynik,150,-25
2154349,-6,tui,Error - ujemny wynik,105,-17.5
2154320,-6,dreamtours,Error - ujemny wynik,150,-25
2154472,-6,dreamtours,Error - ujemny wynik,150,-25
2154292,-6,tui,Error - ujemny wynik,105,-17.5
2070032,-6,itaka,Error - ujemny wynik,150,-25
2154453,-6,tui,Error - ujemny wynik,105,-17.5
2154363,-6,tui,Error - ujemny wynik,105,-17.5
2154354,-6,tui,Error - ujemny wynik,105,-17.5
2154387,-6,tui,Error - ujemny wynik,105,-17.5
2154392,-6,dreamtours,Error - ujemny wynik,150,-25
2154279,-6,wakacje.pl,Error - ujemny wynik,150,-25
2154276,-6,itaka,Error - ujemny wynik,150,-25
2069845,-4,itaka,Error - ujemny wynik,150,-37.5
2053865,-4,tui,Error - ujemny wynik,105,-26.25
2131775,-4,dreamtours,Error - ujemny wynik,150,-37.5
2069834,-4,dreamtours,Error - ujemny wynik,150,-37.5
2056528,-4,itaka,Error - ujemny wynik,150,-37.5
2131810,-4,tui,Error - ujemny wynik,105,-26.25
2122382,-4,tui,Error - ujemny wynik,105,-26.25
2053867,-4,tui,Error - ujemny wynik,105,-26.25
2120727,-4,tui,Error - ujemny wynik,105,-26.25
2069833,-4,tui,Error - ujemny wynik,105,-26.25
2069841,-4,itaka,Error - ujemny wynik,150,-37.5
2120726,-4,dreamtours,Error - ujemny wynik,150,-37.5
2056520,-4,dreamtours,Error - ujemny wynik,150,-37.5
2056529,-4,itaka,Error - ujemny wynik,150,-37.5
2056531,-4,wakacje.pl,Error - ujemny wynik,150,-37.5
2056519,-4,dreamtours,Error - ujemny wynik,150,-37.5
2069843,-4,tui,Error - ujemny wynik,105,-26.25
2122379,-4,tui,Error - ujemny wynik,105,-26.25
2069835,-4,itaka,Error - ujemny wynik,150,-37.5
2056517,-4,tui,Error - ujemny wynik,105,-26.25
2131918,-4,tui,Error - ujemny wynik,105,-26.25
2122375,-4,tui,Error - ujemny wynik,105,-26.25
2069831,-4,dreamtours,Error - ujemny wynik,150,-37.5
2131751,-4,tui,Error - ujemny wynik,105,-26.25
2131771,-4,itaka,Error - ujemny wynik,150,-37.5
2122396,-4,itaka,Error - ujemny wynik,150,-37.5
2131934,-4,dreamtours,Error - ujemny wynik,150,-37.5
2131803,-4,dreamtours,Error - ujemny wynik,150,-37.5
2122380,-4,tui,Error - ujemny wynik,105,-26.25
2131796,-4,tui,Error - ujemny wynik,105,-26.25
2122381,-4,dreamtours,Error - ujemny wynik,150,-37.5
2131926,-4,dreamtours,Error - ujemny wynik,150,-37.5
2056523,-4,wakacje.pl,Error - ujemny wynik,150,-37.5
2069842,-4,wakacje.pl,Error - ujemny wynik,150,-37.5
2056522,-4,tui,Error - ujemny wynik,105,-26.25
2056516,-4,dreamtours,Error - ujemny wynik,150,-37.5
2056526,-4,wakacje.pl,Error - ujemny wynik,150,-37.5
2069830,-4,tui,Error - ujemny wynik,105,-26.25
2131759,-4,wakacje.pl,Error - ujemny wynik,125,-31.25
2131786,-4,tui,Error - ujemny wynik,105,-26.25
2131907,-4,wakacje.pl,Error - ujemny wynik,125,-31.25
2139777,-4,wakacje.pl,Error - ujemny wynik,150,-37.5
